lat,lon,x,y,faa,height
-65.2939395,-61.7462785,-2400409.27,1289987.36,22.18,739.0
-65.3428632,-61.7686239,-2396013.44,1286420.96,21.31,767.38
-65.3921458,-61.7965796,-2391705.74,1282605.2,22.47,884.35
-65.1958361,-62.3830365,-2424478.83,1268401.04,101.09,3348.26
-65.1914645,-62.2476074,-2421913.85,1274359.65,60.14,2789.25
-65.1811277,-62.1046182,-2419764.75,1280949.78,53.93,2287.55
-65.1680849,-61.9646063,-2417936.38,1287556.13,55.49,1939.22
-67.6120864,-63.3266764,-2200603.04,1105504.57,6.57,505.61
-67.6686983,-63.3937068,-2196188.84,1100071.18,10.83,502.96
-67.7253155,-63.4617713,-2191785.24,1094610.34,11.34,505.84
-67.7841036,-63.5213815,-2186993.16,1089375.74,7.29,503.66
-67.8398661,-63.5964918,-2182792.23,1083714.06,5.3,499.64
-68.4101253,-64.3364767,-2138754.72,1027636.66,6.99,487.67
-68.4696061,-64.3602152,-2133151.05,1023856.57,9.98,614.84
-68.5263751,-64.3878731,-2127890.41,1020068.08,6.87,629.23
-68.5831632,-64.423707,-2122770.71,1015981.57,0.08,630.97
-65.1188246,-64.7211166,-2482124.89,1172176.05,18.25,9958.67
-65.2184203,-64.6562207,-2470560.37,1170138.91,19.68,9955.24
-65.3180089,-64.5906119,-2458993.61,1168109.81,21.1,9949.65
-65.4178915,-64.5245781,-2447399.7,1166061.33,20.0,9944.08
-65.5177256,-64.4579944,-2435811.33,1164015.23,19.53,9940.44
-65.6177367,-64.3911672,-2424211.71,1161947.18,26.37,9934.39
-65.7178253,-64.3226757,-2412582.33,1159921.72,46.36,9932.7
-65.8181895,-64.2545266,-2400943.74,1157843.98,75.91,9929.53
-65.9187879,-64.1850904,-2389267.36,1155784.1,108.48,9921.48
-66.0195633,-64.1148845,-2377569.67,1153722.61,123.4,9926.06
-66.1202848,-64.0447686,-2365891.62,1151634.95,116.63,9924.69
-66.2209851,-63.9729615,-2354194.16,1149592.78,88.38,9912.98
-66.3215832,-63.901666,-2342529.85,1147509.07,59.52,9908.03
-66.4219646,-63.8293143,-2330878.91,1145453.69,33.17,9902.51
-66.5222034,-63.7566102,-2319247.94,1143393.89,17.26,9895.94
-66.6223959,-63.6831885,-2307619.93,1141339.41,10.75,9893.48
-66.72252,-63.6102685,-2296021.45,1139242.1,9.77,9889.5
-66.82242,-63.5354306,-2284420.2,1137206.64,13.45,9883.26
-66.9224115,-63.4607283,-2272825.11,1135134.56,14.82,9879.22
-67.0223397,-63.3848496,-2261225.92,1133085.55,15.04,9874.69
-67.1223065,-63.3091356,-2249638.96,1131001.13,13.4,9869.89
-67.2222053,-63.2321602,-2238046.91,1128942.53,11.53,9866.62
-67.3221493,-63.1545824,-2226451.47,1126877.66,13.86,9867.28
-67.4220548,-63.0759978,-2214853.24,1124826.08,12.79,9863.95
-67.5221017,-62.9977551,-2203260.7,1122726.14,13.53,9858.11
-67.6220905,-62.9184472,-2191666.41,1120642.09,10.52,9853.86
